id,subBooks
978-7-5427-7123-0,中国经典神话故事
978-7-5496-2627-4,古龙文集
978-7-5407-8488-1,旅伴文库 : 散文精品城际阅读
978-7-5482-3348-0,一缕阳光
978-7-5704-0270-0,统编版语文教材配套阅读丛书
978-7-5304-9356-4,竹兜育儿亲子绘本
978-7-5126-6717-4,信风集
978-7-5675-7221-8,人文社科
978-7-208-15519-0,上海海关学院学术文库
978-7-5126-6339-8,雅韵诗心
978-7-5319-5781-2,洛桑和卓玛
978-7-5536-7935-8,动物小说大王沈石溪・精读系列 : 全新升级珍藏版
978-7-5489-3247-5,中图文库 : 典雅精装版
978-7-5200-0262-2,熊孩子励志成长
978-7-301-29559-5,新丝路・语言
978-7-5020-7051-9,世界经典文学名著宝库
978-7-5387-5945-7,“七色阳光小少年”全国小学生校园美文精品集萃丛书
978-7-5210-0257-7,海洋乐园情商系列
978-7-5477-2947-2,猎兽大师
978-7-5590-3514-1,“故事中国”图画书系列
978-7-5653-3179-4,安全与反恐丛书
978-7-5201-3218-3,农村基层党建研究丛书
978-7-5585-2570-4,意林・小文学
978-7-108-06294-9,钱穆作品精选
978-7-5126-6585-9,紫云文萃
978-7-5143-6696-9,倾世大医系列
978-7-5126-6385-5,金点诗文
978-7-5321-6887-3,潮声书系
978-7-5126-6099-1,续脉诗写
978-7-5126-6432-6,饮风醉柳
978-7-5201-2147-7,传统农区工业化与社会转型丛书
978-7-5488-3181-5,方方蛋原创儿童文学馆
978-7-5583-1196-3,童心树华文原创
978-7-5126-6556-9,诗光书存
978-7-5210-0277-5,中国海洋空间丛书
978-7-02-014393-1,教育部统编《语文》推荐阅读丛书
978-7-5049-9575-9,金融保险丛书
978-7-5137-1326-9,爱探险的朵拉情景英语阶梯阅读
978-7-5562-3981-8,逗逗镇的成语故事 : 注音版
978-7-5201-2320-4,北京大学城乡规划与治理研究丛书
978-7-5145-1266-3,中国最美诗词曲・飞花令
978-7-5472-5366-3,书香口袋丛书
978-7-5327-7717-4,睿文馆
978-7-5594-1416-8,2017作家文集
978-7-5126-6058-8,一揽芳华
978-7-5137-1325-2,爱探险的朵拉情景英语阶梯阅读
978-7-5126-5951-3,爱和平绘本系列
978-7-201-13747-6,当代儿童作家童话精选
978-7-5704-0630-2,中华优秀传统文化
978-7-5034-9966-1,民国通俗小说典藏文库
978-7-5585-2323-6,成长关键期全阅读
978-7-122-32027-8,帮帮龙出动恐龙探险队
978-7-5313-5527-4,文化名人书系
978-7-5387-5677-7,“我的青春我的梦”全国中学生校园美文精品集萃丛书
978-7-5213-0257-8,步客口袋书
978-7-202-13574-7,不一样的猪小弟
978-7-5552-7262-5,启蒙学国学
978-7-5702-0698-8,小方熊猫・我的第一套自然拼读启蒙书
978-7-5581-5473-7,儿童心理健康成长故事
978-7-5594-2451-8,文学苏军长篇小说丛书
978-7-5201-3591-7,中小城市绿皮书
978-7-5016-1404-2,刘先平大自然文学精品集
978-7-5552-7673-9,青岛及中国近代工商业发展档案史料汇编
978-7-5365-8607-9,熊猫兔心灵力量系列绘本
978-7-5395-6545-3,彩虹桥名家注音童话
978-7-5034-9377-5,跨度长篇小说文库
978-7-5596-1523-7,晚安宝贝・名家睡前故事
978-7-5201-2037-1,法治中国研究
978-7-307-20010-4,中国统一战线理论研究会党外知识分子统战工作理论研究基地学术丛书
978-7-111-60552-2,阅读启蒙 : 乔伊・考利英语绘本精选
978-7-111-60546-1,华章经典
978-7-5332-9747-3,明天原创图画书
978-7-5652-2625-0,中华优秀传统美德养成教育系列绘本
978-7-5126-6219-3,笔润春秋
978-7-81142-694-6,世界经典寓言绘本丛书
978-7-5321-6874-3,新海派诗萃
978-7-5325-9045-2,楚辞要籍丛刊
978-7-5597-0720-8,超级飞侠3美绘图画故事书
978-7-03-056603-4,智能科学技术著作丛书
978-7-5407-8469-0,百部国学传世经典
978-7-5581-3529-3,儿童情商故事美绘本
978-7-5498-3761-8,决战虫人
978-7-5580-3967-6,全民微阅读系列
978-7-5409-8063-4,清荷集
978-7-5589-0263-5,奇古拉国王的奇妙故事
978-7-5001-5731-1,百年中国儿童文学精品外译书系
978-7-5313-5468-0,百年百部中篇正典
978-7-5093-9286-7,婉约词经典全集
978-7-5192-5216-8,青春美文系列
978-7-111-59963-0,零基础实战入门
978-7-5207-0592-9,服务的细节
978-7-5020-7173-8,八大处历史文化丛书
978-7-204-15499-9,新课标课外阅读经典文学名著
978-7-5409-8050-4,蓝・诗文丛
978-7-5702-0490-8,余秋雨传世散文 : 全彩珍藏版
978-7-5459-1532-7,扬帆台海通丝路
978-7-5480-5860-1,冰心奖获奖作家精品文库
978-7-5315-7663-1,恐龙故事大王袁博注音系列
978-7-5213-0479-4,RoyalABC语言学习故事书
978-7-5649-3593-1,国际美学前沿译丛
978-7-5126-6502-6,2018冰凌花文丛
978-7-5387-5770-5,“我的青春我的梦”全国中学生校园美文精品集萃丛书
978-7-5126-6057-1,沧州原创戏剧四十年
978-7-5680-4036-5,现当代名家作品典藏
978-7-5524-7482-4,好孩子是夸出来的
978-7-5126-6666-5,花香
978-7-5410-8159-0,风雅颂文丛
978-7-5643-6461-8,中国高铁出版工程
978-7-5596-1522-0,中华国学经典精粹
978-7-5318-9897-9,语文新课标阅读名家选
978-7-5524-7478-7,好孩子是夸出来的
978-7-5585-1855-3,暖心小熊双语好习惯绘本
978-7-5126-6485-2,初心集
978-7-5126-6846-1,书香墨韵
978-7-81142-681-6,世界经典寓言绘本丛书
978-7-5097-7576-9,甘肃蓝皮书
978-7-5536-7936-5,动物小说大王沈石溪・精读系列 : 全新升级珍藏版
978-7-5680-3984-0,中国经济转型与创新驱动发展研究丛书
978-7-5680-3471-5,智能制造与机器人理论及技术研究丛书
978-7-5325-8855-8,中国古代文史经典读本
978-7-5378-5440-5,吕新作品系列
978-7-5321-6479-0,上海老作家文丛
978-7-307-18759-7,中国文化故事丛书
978-7-5126-6150-9,文华雅韵
978-7-5034-9999-9,民国通俗小说典藏文库
978-7-5110-3112-9,中国传统修身故事绘本
978-7-5590-2886-0,中华英杰故事丛书
978-7-5594-2630-7,亲近经典・引读者
978-7-5595-0928-4,中外名著彩绘版系列
978-7-5126-6450-0,赏夏集
978-7-5315-7756-0,小狗皮皮宝宝故事会
978-7-5702-0402-1,青少年整本书阅读书系 : 名师讲读版
978-7-305-20893-5,部编版必读经典书系
978-7-5378-5497-9,吕新作品系列
978-7-309-13957-0,复旦卓越
978-7-5443-8340-0,勤径千里马
978-7-5477-3168-0,翌平新阳刚少年小说
978-7-5533-2169-1,台胞在宁创业故事丛书
978-7-5680-3932-1,不可不知的历史
978-7-5199-0325-1,无障碍阅读国学经典
978-7-5409-7819-8,圣立作家文丛
978-7-5302-1860-0,张爱玲全集
978-7-5325-9061-2,中国古代名著全本译注丛书
978-7-5020-5451-9,伴随孩子成长经典阅读
978-7-115-48031-6,冰雪奇缘
978-7-5420-3264-5,梦舟
978-7-5396-6461-3,张恨水作品典藏・小说十种
978-7-5109-2275-6,司法工作丛书
